path,from_line,to_line,status,notes,source_of_truth_ref
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,701,800,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,801,900,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,901,1000,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1001,1100,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1101,1200,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1201,1300,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1301,1400,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1401,1500,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1501,1600,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1601,1700,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1701,1800,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1801,1900,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1901,2000,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,2001,2100,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,2101,2200,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,2201,2300,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,2301,2400,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,2401,2500,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,2501,2523,⚠️unclear,,
Archives/SUTAZAI_SYSTEM_ROADMAP.md,1,100,⚠️unclear,,
Archives/SUTAZAI_SYSTEM_ROADMAP.md,101,200,⚠️unclear,,
Archives/SUTAZAI_SYSTEM_ROADMAP.md,201,300,⚠️unclear,,
Archives/SUTAZAI_SYSTEM_ROADMAP.md,301,320,⚠️unclear,,
Archives/DISTRIBUTED_AI_SERVICES_ARCHITECTURE.md,1,100,⚠️unclear,,
Archives/DISTRIBUTED_AI_SERVICES_ARCHITECTURE.md,101,174,⚠️unclear,,
Archives/CLEANUP_OPERATION_FINAL_SUMMARY.md,1,100,⚠️unclear,,
Archives/CLEANUP_OPERATION_FINAL_SUMMARY.md,101,169,⚠️unclear,,
Archives/SUTAZAI_SYSTEM_ARCHITECTURE_BLUEPRINT.docx,1,1,🕳️missing,Extraction not implemented for .docx,
Archives/SYSTEM_TRUTH_SUMMARY.md,1,100,⚠️unclear,,
Archives/SYSTEM_TRUTH_SUMMARY.md,101,184,⚠️unclear,,
Archives/SUTAZAI_SYSTEM_ARCHITECTURE_BLUEPRINT_Part_2.docx,1,1,🕳️missing,Extraction not implemented for .docx,
Archives/FULL_SYSTEM_CAPABILITY_ASSESSMENT.md,1,100,⚠️unclear,,
Archives/FULL_SYSTEM_CAPABILITY_ASSESSMENT.md,101,200,⚠️unclear,,
Archives/FULL_SYSTEM_CAPABILITY_ASSESSMENT.md,201,300,⚠️unclear,,
Archives/FULL_SYSTEM_CAPABILITY_ASSESSMENT.md,301,400,⚠️unclear,,
Archives/FULL_SYSTEM_CAPABILITY_ASSESSMENT.md,401,500,⚠️unclear,,
Archives/FULL_SYSTEM_CAPABILITY_ASSESSMENT.md,501,550,⚠️unclear,,
Archives/DOCKER_DEPLOYMENT_GUIDE.md,1,100,⚠️unclear,,
Archives/DOCKER_DEPLOYMENT_GUIDE.md,101,200,⚠️unclear,,
Archives/DOCKER_DEPLOYMENT_GUIDE.md,201,300,⚠️unclear,,
Archives/DOCKER_DEPLOYMENT_GUIDE.md,301,400,⚠️unclear,,
Archives/DOCKER_DEPLOYMENT_GUIDE.md,401,460,⚠️unclear,,
Archives/SUTAZAI_MVP.docx,1,1,🕳️missing,Extraction not implemented for .docx,
Archives/TECHNOLOGY_STACK_REPOSITORY_INDEX.md,1,100,⚠️unclear,,
Archives/TECHNOLOGY_STACK_REPOSITORY_INDEX.md,101,200,⚠️unclear,,
Archives/TECHNOLOGY_STACK_REPOSITORY_INDEX.md,201,300,⚠️unclear,,
Archives/TECHNOLOGY_STACK_REPOSITORY_INDEX.md,301,312,⚠️unclear,,
Archives/SUTAZAI_PRD.docx,1,1,🕳️missing,Extraction not implemented for .docx,
Archives/LLM_RESEARCH_REPORT.md,1,100,⚠️unclear,,
Archives/LLM_RESEARCH_REPORT.md,101,200,⚠️unclear,,
Archives/LLM_RESEARCH_REPORT.md,201,218,⚠️unclear,,
Archives/DEVELOPER_GUIDE.md,1,100,⚠️unclear,,
Archives/DEVELOPER_GUIDE.md,101,200,⚠️unclear,,
Archives/DEVELOPER_GUIDE.md,201,300,⚠️unclear,,
Archives/DEVELOPER_GUIDE.md,301,400,⚠️unclear,,
Archives/DEVELOPER_GUIDE.md,401,500,⚠️unclear,,
Archives/DEVELOPER_GUIDE.md,501,595,⚠️unclear,,
Archives/ACTUAL_SYSTEM_INVENTORY.md,1,100,⚠️unclear,,
Archives/ACTUAL_SYSTEM_INVENTORY.md,101,193,⚠️unclear,,
Archives/EMERGENCY_DEPLOYMENT_PLAN.md,1,100,⚠️unclear,,
Archives/EMERGENCY_DEPLOYMENT_PLAN.md,101,200,⚠️unclear,,
Archives/EMERGENCY_DEPLOYMENT_PLAN.md,201,211,⚠️unclear,,
Archives/Sutazai_Strategy _Plan_IMPORTANT.docx,1,1,🕳️missing,Extraction not implemented for .docx,
Archives/MONITORING_OBSERVABILITY_STACK.md,1,100,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,101,200,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,201,300,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,301,400,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,401,500,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,501,600,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,601,700,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,701,800,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,801,900,⚠️unclear,,
Archives/MONITORING_OBSERVABILITY_STACK.md,901,948,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1,100,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,101,200,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,201,300,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,301,400,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,401,500,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,501,600,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,601,700,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,701,800,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,801,900,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,901,1000,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1001,1100,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1101,1200,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1201,1300,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1301,1400,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1401,1500,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1501,1600,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1601,1700,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1701,1800,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1801,1900,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,1901,2000,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,2001,2100,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,2101,2200,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,2201,2300,⚠️unclear,,
Archives/SYSTEM_ARCHITECTURE_BLUEPRINT.md,2301,2335,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,1,100,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,101,200,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,201,300,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,301,400,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,401,500,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,501,600,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,601,700,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,701,800,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,801,900,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,901,1000,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,1001,1100,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,1101,1200,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,1201,1300,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,1301,1400,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLEv2 (1).md,1401,1435,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,1,100,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,101,200,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,201,300,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,301,400,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,401,500,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,501,600,⚠️unclear,,
Archives/CORE_SERVICES_DOCUMENTATION.md,601,654,⚠️unclear,,
Archives/ACTUAL_SYSTEM_STATE_VERIFIED.md,1,100,⚠️unclear,,
Archives/ACTUAL_SYSTEM_STATE_VERIFIED.md,101,147,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,1,100,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,101,200,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,201,300,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,301,400,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,401,500,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,501,600,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,601,700,⚠️unclear,,
Archives/AI_AGENT_FRAMEWORK_GUIDE.md,701,797,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,1,100,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,101,200,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,201,300,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,301,400,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,401,500,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,501,600,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,601,700,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,701,800,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,801,900,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,901,1000,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,1001,1100,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,1101,1200,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,1201,1300,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,1301,1400,⚠️unclear,,
Archives/SYSTEM_ROADMAP_BIBLE.md,1401,1435,⚠️unclear,,
Archives/VERIFIED_INFRASTRUCTURE_ARCHITECTURE.md,1,100,⚠️unclear,,
Archives/VERIFIED_INFRASTRUCTURE_ARCHITECTURE.md,101,200,⚠️unclear,,
Archives/VERIFIED_INFRASTRUCTURE_ARCHITECTURE.md,201,300,⚠️unclear,,
Archives/VERIFIED_INFRASTRUCTURE_ARCHITECTURE.md,301,345,⚠️unclear,,
Archives/DATABASE_SETUP_COMPLETE.md,1,100,⚠️unclear,,
Archives/DATABASE_SETUP_COMPLETE.md,101,200,⚠️unclear,,
Archives/DATABASE_SETUP_COMPLETE.md,201,300,⚠️unclear,,
Archives/DATABASE_SETUP_COMPLETE.md,301,308,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLEv2.md,1,100,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLEv2.md,101,200,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLEv2.md,201,300,⚠️unclear,,
Archives/SUTAZAI_FEATURES_AND_USERSTORIES_BIBLEv2.md,301,305,⚠️unclear,,
Archives/SUTAZAI_POC.docx,1,1,🕳️missing,Extraction not implemented for .docx,
Archives/API_SPECIFICATION.md,1,100,⚠️unclear,,
Archives/API_SPECIFICATION.md,101,160,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_COMPLETE_REPORT.md,1,100,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_COMPLETE_REPORT.md,101,200,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_COMPLETE_REPORT.md,201,300,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_COMPLETE_REPORT.md,301,337,⚠️unclear,,
Archives/Reports and Findings/ACTUAL_RUNNING_SERVICES.md,1,100,⚠️unclear,,
Archives/Reports and Findings/ACTUAL_RUNNING_SERVICES.md,101,200,⚠️unclear,,
Archives/Reports and Findings/ACTUAL_RUNNING_SERVICES.md,201,258,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_ARTIFACTS.md,1,100,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_ARTIFACTS.md,101,200,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_ARTIFACTS.md,201,300,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_ARTIFACTS.md,301,400,⚠️unclear,,
Archives/Reports and Findings/CLEANUP_ARTIFACTS.md,401,456,⚠️unclear,,

